Rounding mode   Dato X     Data Y     Resultado DUT   Resultado esperado Overflow   Underflow 
1               7b9671e3   f4b4ab0    4b6ef066        4b6ef066           0          0         
10              e55d4912   8eeefe8    aece894f        aece894f           0          0         
0               97f3ed9b   c99981c    80000000        80000000           0          1         
1               da4bfdf    ea223e6    0               0                  0          1         
1               408f16fd   fbffe1b    10d6a05d        10d6a05d           0          0         
0               661ac26c   ac3110e5   d2d61547        d2d61547           0          0         
1               d6502824   fdf6679a   7f800000        7f800000           1          0         
1               8e755d00   7615dc25   c50fa220        c50fa220           0          0         
0               a267e792   90e401fa   0               0                  0          1         
0               b46ebadb   409cef15   b59258d1        b59258d1           0          0         
11              1c6a147f   8ba09862   80000000        80000000           0          1         
11              4868432d   4d3ea3d9   562cf684        562cf684           0          0         
0               62696884   8d71be04   b05c68a3        b05c68a3           0          0         
11              d469fd50   4e5630ea   e343c676        e343c676           0          0         
1               8f69b7ba   2fc5f79d   80000000        80000000           0          1         
11              a2e992cf   bc0c1426   1f7f9d57        1f7f9d57           0          0         
0               17298075   56e8e5fb   2e9a34b0        2e9a34b0           0          0         
11              4dc98928   809a9d15   8ef37057        8ef37057           0          0         
11              c3b98d86   eba3a162   6fed342b        6fed342b           0          0         
0               84818fd1   7d3f3f59   c24194b9        c24194b9           0          0         
11              41d8efa    95717044   80000000        80000000           0          1         
11              e7538e6f   425657ca   ea31219d        ea31219d           0          0         
11              35f48e25   ff800000   ff800000        f5f48e25           0          0         
10              5ca70e00   80000000   80000000        9d270e01           0          0         
1               80000000   80000000   0               0                  0          1         
10              ff800000   ff800000   7f800000        7f800000           1          0         
